,Name,ReviewCount,Brand,ImageURL,Rating
101,"SQL For Beginners: A Step-by-Step Guide to Learn SQL (Structured Query Language) from Installation to Database Management and Database Ad",2,textbook,https://i5.walmartimages.com/seo/SQL-For-Beginners-A-Step-by-Step-Guide-to-Learn-SQL-Structured-Query-Language-from-Installation-to-Database-Management-and-Database-Ad-9798611119563_2369d9ba-0457-4f67-a3f9-6fffc5e1f7fd.f805e0a75a873a5f14c727865264eebc.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Complete-Reference-SQL-the-Complete-Reference-3rd-Edition-Paperback-9780071592550_ffec90e2-e445-4e1f-9b4c-b5a01b1ac854_1.fbe54ae99caaa13a64072476b6b68bbc.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF | https://i5.walmartimages.com/seo/SQL-Database-Programming-The-Ultimate-Guide-to-Learning-SQL-Database-Programming-Fast-Paperback-9781761030222_f204b884-3280-4d4d-a2f0-4867bcf080d9.6b76f160d11eb1d35be9087b3408dbb5.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF,5
201,"python programming for beginners: The simplified beginner's guide to learn basics Python computer language, coding project, data science, data analyti",13,textbook,https://i5.walmartimages.com/seo/python-programming-beginners-simplified-beginner-s-guide-learn-basics-Python-computer-language-coding-project-data-science-data-analyti-9798607172930_7b64a4b8-7dc9-46e9-b399-701e84aa9c2b.feb74ee0a83ab40115cf4466d7a61958.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Python-Programming-The-Fundamental-Beginner-s-Guide-to-Learning-Python_8a53ac81-2376-47c8-a1b5-e67d0a53dec9.dc9c97c963e795aaf80aae4f147f496c.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Learn-Python-Programming-Second-Edition-no-nonsense-beginner-s-guide-programming-data-science-web-development-Python-3-7-Paperback-9781788996662_4fd96dcc-b429-4398-9801-30da678b60a6.26812334c4227c2a590d208065fbea5b.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,5
301,"C Programming: A Self-Teaching Introduction",11,textbook,https://i5.walmartimages.com/seo/C-Programming-A-Self-Teaching-Introduction-Paperback-9781683920908_26d53635-9b3f-4ad4-b76c-91d2d94378f3.beb8cd5cdb44e53ea4b17ea59721a13f.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF | https://i5.walmartimages.com/seo/C-Programming-For-Beginners-The-Simple-Guide-to-Learning-C-Programming-Language-Fast-Paperback-9781761030246_d6a8e691-df71-4277-b69a-a28caa2e75b4.3b59971e99592c08f94aedf4936cb11a.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Learn-C-Programming-A-beginner-s-guide-to-learning-C-programming-the-easy-and-disciplined-way-Paperback-9781789349917_5fbc2d34-6155-41ae-afe6-9e73578a781e.e06c753466c97629844805ff48b3584b.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF,5
401,"Data Structures and Algorithms Made Easy: Data Structures and Algorithmic Puzzles",7,textbook,https://i5.walmartimages.com/seo/Data-Structures-and-Algorithms-Made-Easy-Data-Structures-and-Algorithmic-Puzzles-Paperback-9788193245279_3190bec9-5563-4757-a081-4f7d39c6f251.316d9f049feb3520e2721f2756e7c8c5.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Absolute-Beginner-s-Guide-to-Algorithms-A-Practical-Introduction-to-Data-Structures-and-Algorithms-in-JavaScript-Paperback-9780138222291_5b4a965a-ca7e-488f-9d1f-5b1fd7cba4b2.61f80a300da348a2e3b4d6641aa78f4a.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,5
501,"Operating System Concepts",8,textbook,https://i5.walmartimages.com/seo/Operating-System-Paperback-9789351644095_d3be700b-39ff-450c-b499-253c51c8c304_1.cf3ea2cb0c853f2ef203a01b6e9032a9.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Guide-to-Operating-Systems-9781305107649_01a2bfc4-10f5-4fec-be26-ea99aeba0918.c1236efe7cac4f3d6d5a41128fa6a12f.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,5
601,"Computer Networking: The Complete Beginner's Guide to Learning the Basics of Network Security, Computer Architecture, Wireless Technology and Communications Systems (Including Cisco, CCENT, and CCNA)",21,textbook,https://i5.walmartimages.com/seo/Computer-Networking-Complete-Beginner-s-Guide-Learning-Basics-Network-Security-Computer-Architecture-Wireless-Technology-Communications-Systems-Inclu_24df6c2b-7a13-4a4d-8e01-2b1f11d63962_1.beae1b770c270600e605bb030f780be2.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Computer-Communications-and-Networks-Guide-to-Computer-Network-Security-Paperback-9781849968065_50fbb3f7-8dcd-4a8b-8c4a-6c95a2480008.28d1d37b9a76f77066c2fc8768266af5.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,5
701,"An Introduction to Formal Languages and Automata",25,textbook,https://i5.walmartimages.com/seo/An-Introduction-to-Formal-Languages-and-Automata-Paperback-9781284231601_737d3f69-f65a-43e3-9d34-42b2aa069011.a9449ab96b45a76e67b029e956b22923.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Theory-of-Computation-Automata-Formal-Languages-Computation-and-Complexity-Hardcover-9789819762330_598021b0-0109-4568-919f-9a0863b18e47.1d90f984a65080840ea0d1224e6b436a.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF,5
801,"Compiler Design: Virtual Machines",16,textbook,https://i5.walmartimages.com/seo/Compiler-Design-Virtual-Machines-Hardcover-9783642149085_2c449990-16e2-4706-b7d9-1a7723334c9d_1.f73cb8a39c8d54ebe52acd9ed7a6a92a.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Modern-Compiler-Design-Paperback-9781493944729_a1130675-6646-4fc6-b666-1375815cf1c6_1.292d25fcc4f70842bce73c8014440c21.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF,5
901,"Machine Learning for Beginners: A Complete and Phased Beginner's Guide to Learning and Understanding Machine Learning and Artificial Intelligence",9,textbook,https://i5.walmartimages.com/seo/Machine-Learning-for-Beginners-A-Complete-and-Phased-Beginner-s-Guide-to-Learning-and-Understanding-Machine-Learning-and-Artificial-Intelligence-9781_ed3e632a-fd7b-42b9-b6e6-6dcf813c13f4.d3ed8c86f015d2b76baf36b8c2b7ca8f.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Machine-Learning-New-and-Collected-Stories-9781328767523_3db23056-8a8f-43ea-8c99-5fe5a80fde8f.b60823c53b535e50243b1041101324ab.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF,5
1001,"Introduction to Programming Using Java",15,textbook,https://i5.walmartimages.com/seo/Introduction-to-Programming-Using-Java-Paperback-9781616100995_982de410-dba7-421a-b82e-f72708821994.edbbb9c2be849ef962c8ec3f168299e0.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF | https://i5.walmartimages.com/seo/Computer-Science-Java-Programming-Learn-How-Code-With-Object-Oriented-Program-Improve-Your-Software-Engineering-Skills-Get-Familiar-Virtual-Machine-J_5014787d-49b6-4756-85ee-d666c1569e02.6dbd0941c0fd212a0f8ad62c31f0fda0.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF,5
